reporting_year,reporting_month,organization,action_as_per_source,enforcement_type,proactive_flag,topic,value,units,notes,standard_value,date
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Spam,2.4,value in millions,,2.4,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Suicide and Self-Injury,99.9,value in percentage,,99.9,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Suicide and Self-Injury,1.6,value in millions,,1.6,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Violence and Incitement,93.0,value in percentage,,93.0,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Violence and Incitement,17.1,value in thousands,,17.1,2025-06-01
2025,June,Facebook,Proactive Rate,Content Actioned,Proactive,Violent and Graphic Content,99.4,value in percentage,,99.4,2025-06-01
2025,June,Facebook,Content Actioned,Content Actioned,Unknown,Violent and Graphic Content,1.2,value in millions,,1.2,2025-06-01
2025,May,Facebook,Proactive Rate,Content Actioned,Proactive,Adult Nudity and Sexual Activity,98.3,value in percentage,,98.3,2025-05-01
2025,May,Facebook,Content Actioned,Content Actioned,Unknown,Adult Nudity and Sexual Activity,2.0,value in millions,,2.0,2025-05-01
2025,May,Facebook,Proactive Rate,Content Actioned,Proactive,Bullying and Harassment,86.5,value in percentage,,86.5,2025-05-01
2025,May,Facebook,Content Actioned,Content Actioned,Unknown,Bullying and Harassment,100.5,value in thousands,,100.5,2025-05-01
